id,nom,municipi,sstt,ssttNou,idResposta,dataResposta,pDepartament,pAltres,pTotal,e75paret,e75rodes,e65paret,e65rodes,eTotal,srFixes,srRodes,srTotal,retirada,armaris
"08039343",Escola Josep Ferrà i Esteva,Olesa de Montserrat,BLL,BLL,4230860,01/04/2022,4,21,25,12,0,0,0,12,12,0,12,12,4
"08039355",Escola Ramon Llull,El Prat de Llobregat,BLL,BLL,4223299,28/03/2022,0,0,0,0,18,0,0,18,0,0,0,0,4
"08039367",Escola Josep Pla,Sant Andreu de la Barca,BLL,BLL,4213205,23/03/2022,1,0,1,18,0,0,0,18,0,0,0,18,4
"08039379",Escola Rafael Casanova,Sant Boi de Llobregat,BLL,BLL,4214064,23/03/2022,4,6,10,15,4,0,0,19,0,4,4,15,3
"08039380",Escola Germans Amat i Targa,Viladecans,BLL,BLL,4225462,29/03/2022,0,0,0,5,12,0,0,17,5,12,17,6,4
"08039434",Escola Doctor Ferran i Clua,Barcelona,CEB,CEB,4219008,25/03/2022,2,0,2,19,0,0,0,19,19,0,19,19,4
"08039471",Escola Mercè Rodoreda,Barcelona,CEB,CEB,4230101,31/03/2022,0,0,0,18,0,0,0,18,18,0,18,18,4
"08039483",Escola Els Horts,Barcelona,CEB,CEB,4214488,23/03/2022,4,0,4,9,0,0,0,9,0,0,0,4,3
"08039495",Escola La Palmera,Barcelona,CEB,CEB,4227851,30/03/2022,1,0,1,15,0,0,2,17,15,2,17,15,9
"08039525",Escola La Sedeta,Barcelona,CEB,CEB,4230139,31/03/2022,0,0,0,6,0,3,0,9,9,0,9,9,2
"08039537",Escola Torrent d'en Melis,Barcelona,CEB,CEB,4223557,28/03/2022,0,5,5,0,16,0,0,16,0,16,16,13,4
"08039562",Escola Prat de la Manta,L'Hospitalet de Llobregat,BCO,BCO,4229342,31/03/2022,1,0,1,10,0,0,0,10,10,0,10,3,2
"08039574",Escola Pau Sans,L'Hospitalet de Llobregat,BCO,BCO,4211919,22/03/2022,0,0,0,8,1,0,0,9,2,1,3,9,2
"08039586",Escola L'Arjau,Vilanova i la Geltrú,BCO,PEN,4216230,24/03/2022,0,0,0,15,3,0,0,18,15,3,18,15,4
"08039598",Escola Sant Miquel del Cros,Argentona,MVO,MVO,4227503,30/03/2022,1,3,4,7,0,0,0,7,0,0,0,5,1
"08039604",Escola Francesc Ferrer i Guàrdia,El Masnou,MVO,MVO,4213213,23/03/2022,1,0,1,2,0,0,0,2,6,0,6,8,2
"08039616",Escola Camí del Cros,Mataró,MVO,MVO,4216176,24/03/2022,1,3,4,15,0,0,0,15,15,0,15,15,4
"08039628",Escola Pompeu Fabra,Manlleu,CCE,CCE,4217881,25/03/2022,0,2,2,14,0,4,0,18,18,0,18,18,4
"08039631",Escola L'Agullola,Rupit (Rupit i Pruit),CCE,CCE,4216067,24/03/2022,1,0,1,0,0,0,1,1,0,0,0,0,4
"08039641",Escola Pablo Picasso,Barberà del Vallès,VOC,VOC,4223438,28/03/2022,0,0,0,13,2,0,0,15,5,2,7,11,5
"08039653",Escola Agustí Bartra,Terrassa,VOC,VOC,4230728,31/03/2022,2,0,2,0,1,0,18,19,0,10,10,0,4
"08039665",Escola Lanaspa-Giralt,Terrassa,VOC,VOC,4230254,31/03/2022,2,1,3,8,2,0,0,10,3,0,3,0,3
"08039677",Escola Congost,Can Castells (Canovelles),MVO,MVO,4229090,31/03/2022,1,1,2,10,3,4,0,17,14,3,17,14,2
"08039690",Escola Germans Corbella,Cardedeu,MVO,MVO,4229035,31/03/2022,2,2,4,14,1,3,1,19,0,2,2,17,4
"08039707",Escola Tagamanent,La Garriga,MVO,MVO,4212035,22/03/2022,0,0,0,12,1,0,0,13,12,1,13,10,2
"08039719",Escola Les Planes,La Llagosta,MVO,MVO,4227319,30/03/2022,1,3,4,17,0,0,0,17,5,0,5,15,4
"08039744",Escola del Pont Trencat - ZER Baix Montseny,Santa Maria de Palautordera,MVO,MVO,4213930,23/03/2022,0,0,0,4,0,0,0,4,4,0,4,0,1
"08039835",Escola de les Aigües,Barcelona,CEB,CEB,4230175,31/03/2022,1,0,1,19,0,0,0,19,19,0,19,19,2
"08039896",Escola Bellaterra,Cerdanyola del Vallès,VOC,VOC,4226975,30/03/2022,0,0,0,0,0,16,2,18,0,0,0,0,4
"08040047",CEE Josep Sol i Rodríguez,Santa Coloma de Gramenet,BCO,BCO,4227998,30/03/2022,11,3,14,0,0,15,3,18,12,3,15,14,1
"08040059",Escola Joan Salvat i Papasseit,Santa Coloma de Gramenet,BCO,BCO,4231212,01/04/2022,1,0,1,23,4,0,0,27,23,4,27,22,4
"08040060",Escola del Mar,Vilassar de Mar,MVO,MVO,4218227,25/03/2022,0,3,3,0,15,0,0,15,0,10,10,10,5
"08040138",Institut La Sedeta,Barcelona,CEB,CEB,4218405,25/03/2022,3,0,3,12,0,0,0,12,0,0,0,12,12
"08040141",Institut Icària,Barcelona,CEB,CEB,4231520,01/04/2022,0,0,0,23,0,0,0,23,0,0,0,23,1
"08040333",Escola Bernat Metge,El Prat de Llobregat,BLL,BLL,4215852,24/03/2022,1,0,1,8,1,0,0,9,3,0,3,8,2
"08040345",Escola Mercè Rodoreda,Badalona,BCO,BCO,4218891,25/03/2022,0,0,0,7,2,0,0,9,2,1,3,9,2
"08040357",CEE Folch i Camarasa,Barcelona,CEB,CEB,4230089,31/03/2022,1,0,1,1,0,3,0,4,1,0,1,2,0
"08040382",Escola Mercè Rodoreda,Santa Coloma de Gramenet,BCO,BCO,4212978,23/03/2022,1,5,6,0,0,3,3,6,0,0,0,0,2
"08040400",Escola Amadeu Vives,Sabadell,VOC,VOC,4212015,22/03/2022,0,0,0,0,12,6,2,20,18,2,20,18,4
"08040412",Escola El Margalló,Vilanova i la Geltrú,BCO,PEN,4228691,30/03/2022,0,0,0,13,0,0,0,13,7,1,8,13,2
"08040527",Institut La Llauna,Badalona,BCO,BCO,4226981,30/03/2022,2,0,2,20,2,0,0,22,0,0,0,11,1
"08040539",Institut Les Marines,Castelldefels,BLL,BLL,4223071,28/03/2022,1,1,2,20,0,0,0,20,20,0,20,20,0
"08040540",Institut El Cairat,Esparreguera,BLL,BLL,4218071,25/03/2022,0,0,0,23,0,0,0,23,0,0,0,23,6
"08040552",Institut Antoni Pous i Argila,Manlleu,CCE,CCE,4213189,23/03/2022,18,9,27,12,0,5,0,17,0,0,0,17,0
"08040564",Institut Jaume Almera,Vilassar de Dalt,MVO,MVO,4233414,04/04/2022,0,0,0,17,0,0,0,17,0,0,0,4,21
"08040618",Escola Can Vidalet,Esplugues de Llobregat,BLL,BLL,4225456,29/03/2022,0,0,0,9,0,0,0,9,0,0,0,9,2
"08040849",Institut Fort Pius,Barcelona,CEB,CEB,4238500,06/04/2022,19,0,19,12,0,0,2,14,0,2,2,12,14
"08041131",Escola Sant Antoni,Sant Vicenç dels Horts,BLL,BLL,4228009,30/03/2022,0,0,0,6,3,3,3,15,10,4,14,11,4
"08041167",Escola Josep Carner,Badalona,BCO,BCO,4229341,31/03/2022,2,1,3,18,0,0,0,18,18,0,18,18,4
"08041179",Escola Mestre Enric Gibert i Camins,Barcelona,CEB,CEB,4231621,01/04/2022,0,7,7,19,0,0,0,19,0,0,0,19,6
"08041180",Escola Rosselló Pòrcel,Santa Coloma de Gramenet,BCO,BCO,4231208,01/04/2022,1,0,1,4,0,4,0,8,8,0,8,2,1
